"root_label","root_path","full_path","relative_path","file_name","extension","size_bytes","size_mb","created_at","modified_at","category"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase2_ocr_20260727_091505\pip_freeze_after.txt","_patch_backups\ml_classifier_phase2_ocr_20260727_091505\pip_freeze_after.txt","pip_freeze_after.txt",".txt","1227","0.0012","2026-07-27T09:40:09","2026-07-27T09:40:09","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase2_ocr_20260727_091505\pip_freeze_before.txt","_patch_backups\ml_classifier_phase2_ocr_20260727_091505\pip_freeze_before.txt","pip_freeze_before.txt",".txt","937","0.0009","2026-07-27T09:15:06","2026-07-27T09:15:06","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase2_ocr_20260727_091505\backend\requirements.txt","_patch_backups\ml_classifier_phase2_ocr_20260727_091505\backend\requirements.txt","requirements.txt",".txt","280","0.0003","2026-07-27T09:15:05","2026-07-27T08:51:59","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase2_ocr_20260727_091505\frontend\src\App.css","_patch_backups\ml_classifier_phase2_ocr_20260727_091505\frontend\src\App.css","App.css",".css","254530","0.2427","2026-07-27T09:15:05","2026-07-27T08:59:14","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\git_diff_before.patch","_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\git_diff_before.patch","git_diff_before.patch",".patch","136565","0.1302","2026-07-27T11:41:15","2026-07-27T11:41:15","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\git_status_before.txt","_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\git_status_before.txt","git_status_before.txt",".txt","4445","0.0042","2026-07-27T11:41:15","2026-07-27T11:41:15","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\pip_freeze_before.txt","_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\pip_freeze_before.txt","pip_freeze_before.txt",".txt","1227","0.0012","2026-07-27T11:41:15","2026-07-27T11:41:15","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\backend\scripts\ml_certificate_classifier\02_train_classifier.py","_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\backend\scripts\ml_certificate_classifier\02_train_classifier.py","02_train_classifier.py",".py","38659","0.0369","2026-07-27T11:41:15","2026-07-27T11:18:03","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\runtime\current_dataset_before.txt","_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\runtime\current_dataset_before.txt","current_dataset_before.txt",".txt","80","0.0001","2026-07-27T11:41:15","2026-07-23T17:34:54","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\runtime\current_model_before.txt","_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\runtime\current_model_before.txt","current_model_before.txt",".txt","90","0.0001","2026-07-27T11:41:15","2026-07-27T11:18:19","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\runtime\latest_model_training_before.txt","_patch_backups\ml_classifier_phase3b_label_fix_20260727_114115\runtime\latest_model_training_before.txt","latest_model_training_before.txt",".txt","82","0.0001","2026-07-27T11:41:15","2026-07-27T11:18:19","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3_20260727_111751\backup_info.txt","_patch_backups\ml_classifier_phase3_20260727_111751\backup_info.txt","backup_info.txt",".txt","759","0.0007","2026-07-27T11:17:54","2026-07-27T11:17:54","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3_20260727_111751\git_diff_before.patch","_patch_backups\ml_classifier_phase3_20260727_111751\git_diff_before.patch","git_diff_before.patch",".patch","136565","0.1302","2026-07-27T11:17:54","2026-07-27T11:17:54","BACKUP"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3_20260727_111751\git_status_before.txt","_patch_backups\ml_classifier_phase3_20260727_111751\git_status_before.txt","git_status_before.txt",".txt","4334","0.0041","2026-07-27T11:17:54","2026-07-27T11:17:54","SOURCE_OR_CONFIG"
"PROJECT","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web","C:\Users\user\OneDrive\바탕 화면\한재광\회사SW\DT준전문가교육\DLAB\SW Project\halal_web\_patch_backups\ml_classifier_phase3_20260727_111751\pip_freeze_after.txt","_patch_backups\ml_classifier_phase3_20260727_111751\pip_freeze_after.txt","pip_freeze_after.txt",".txt","1227","0.0012","2026-07-27T11:18:20","2026-07-27T11:18:20","SOURCE_OR_CONFIG"
